city,timestamp,temperature,season
New York,2010-01-01,1.720363800307365,winter
New York,2010-01-02,-1.588520163680886,winter
New York,2010-01-03,5.815286419756964,winter
New York,2010-01-04,6.713551286352618,winter
New York,2010-01-05,2.7511887543681546,winter
New York,2010-01-06,-0.7927212203658596,winter
New York,2010-01-07,-7.570923547369607,winter
New York,2010-01-08,0.20300370702253473,winter
New York,2010-01-09,1.2629739621302625,winter
New York,2010-01-10,1.3496445664411643,winter
New York,2010-01-11,-1.6737332928121604,winter
New York,2010-01-12,-5.707065640783707,winter
New York,2010-01-13,-7.332643499306045,winter
New York,2010-01-14,-4.7527154902306235,winter
New York,2010-01-15,-11.128317028729708,winter
New York,2010-01-16,-1.0515399196352242,winter
New York,2010-01-17,6.131153289640395,winter
New York,2010-01-18,-1.0237591694563168,winter
New York,2010-01-19,0.03307497437219384,winter
New York,2010-01-20,0.7310589631695287,winter
New York,2010-01-21,-0.9972475939953975,winter
New York,2010-01-22,-1.4689229099269017,winter
New York,2010-01-23,-7.0777702031068745,winter
New York,2010-01-24,-4.281147281751551,winter
New York,2010-01-25,-2.0295775761198245,winter
New York,2010-01-26,-4.379900019540454,winter
New York,2010-01-27,-6.7478543993745275,winter
New York,2010-01-28,2.7888172116584267,winter
New York,2010-01-29,3.685501058417564,winter
New York,2010-01-30,-2.4047541390409886,winter
New York,2010-01-31,-3.946760274873491,winter
New York,2010-02-01,1.4686126183375405,winter
New York,2010-02-02,9.404133513749947,winter
New York,2010-02-03,2.692572968392098,winter
New York,2010-02-04,-5.504287743150958,winter
New York,2010-02-05,1.5587667279433057,winter
New York,2010-02-06,-2.420807089502685,winter
New York,2010-02-07,5.889267857317683,winter
New York,2010-02-08,3.1483179702608504,winter
New York,2010-02-09,9.020259431647338,winter
New York,2010-02-10,-6.08200020911889,winter
New York,2010-02-11,-4.667995966341555,winter
New York,2010-02-12,-10.105765844796348,winter
New York,2010-02-13,-1.9393888099489502,winter
New York,2010-02-14,2.656369988462552,winter
New York,2010-02-15,-4.778206521085286,winter
New York,2010-02-16,-4.622589832569366,winter
New York,2010-02-17,-2.61736266035302,winter
New York,2010-02-18,0.223392219808069,winter
New York,2010-02-19,-3.522635681380626,winter
New York,2010-02-20,1.126216449604074,winter
New York,2010-02-21,1.6998326767750558,winter
New York,2010-02-22,-0.3996801845513388,winter
New York,2010-02-23,-1.289460501580439,winter
New York,2010-02-24,-7.109275800362976,winter
New York,2010-02-25,-10.499010259136373,winter
New York,2010-02-26,0.8060561387005217,winter
New York,2010-02-27,-4.687592703275455,winter
New York,2010-02-28,0.55357229726087,winter
New York,2010-03-01,2.105176795144935,spring
New York,2010-03-02,11.625308730882697,spring
New York,2010-03-03,6.471564124871829,spring
New York,2010-03-04,14.278849247887583,spring
New York,2010-03-05,9.77328086556948,spring
New York,2010-03-06,1.5456343377519364,spring
New York,2010-03-07,10.392664748346963,spring
New York,2010-03-08,6.599459050811133,spring
New York,2010-03-09,12.412422551496503,spring
New York,2010-03-10,12.432705505924467,spring
New York,2010-03-11,2.1322919479542124,spring
New York,2010-03-12,13.165504890305007,spring
New York,2010-03-13,1.3330428427244705,spring
New York,2010-03-14,8.342825822372923,spring
New York,2010-03-15,5.82378504853935,spring
New York,2010-03-16,7.897709602397866,spring
New York,2010-03-17,8.715103631973514,spring
New York,2010-03-18,10.712026327452744,spring
New York,2010-03-19,8.9782019696348,spring
New York,2010-03-20,14.554592634714744,spring
New York,2010-03-21,4.035791041723541,spring
New York,2010-03-22,8.787255757251263,spring
New York,2010-03-23,9.833529582603548,spring
New York,2010-03-24,12.281372943715876,spring
New York,2010-03-25,5.530073985822052,spring
New York,2010-03-26,13.34316333082965,spring
New York,2010-03-27,6.2430576339826995,spring
New York,2010-03-28,6.547987331806112,spring
New York,2010-03-29,11.532438544013846,spring
New York,2010-03-30,11.711342541115968,spring
New York,2010-03-31,9.051230741694901,spring
New York,2010-04-01,4.535716856102674,spring
New York,2010-04-02,15.042217033218773,spring
New York,2010-04-03,11.175628164813114,spring
New York,2010-04-04,14.515805953658251,spring
New York,2010-04-05,13.074189887964474,spring
New York,2010-04-06,8.253491623622821,spring
New York,2010-04-07,13.415265485766632,spring
New York,2010-04-08,12.20692205582336,spring
New York,2010-04-09,13.050302324160686,spring
New York,2010-04-10,21.954276418452082,spring
New York,2010-04-11,13.827108264354994,spring
New York,2010-04-12,11.834075837129543,spring
New York,2010-04-13,18.112253626881024,spring
New York,2010-04-14,5.766670134243528,spring
New York,2010-04-15,6.686073655837939,spring
New York,2010-04-16,11.64924639949248,spring
New York,2010-04-17,15.677008138989986,spring
